Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?
ch7_rontgen_1,"Jadi... cuma sampai di sini, ya?",ch7_rontgen_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,,
ch7_rontgen_2,"Nggak ada lagi lari di lapangan… nggak ada lagi pertandingan, nggak ada lagi turnamen…",ch7_rontgen_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,,
ch7_rontgen_3,Katanya tulangnya terlalu rapuh sekarang,ch7_rontgen_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,,
ch7_rontgen_4,Satu langkah yang salah… dan semuanya bisa retak lagi,ch7_rontgen_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,,
ch7_rontgen_5,"Basket itu satu-satunya yang tersisa… dari mereka, dan dari diriku sendiri",ch7_rontgen_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,,
ch7_rontgen_6,Mungkin mereka benar,ch7_rontgen_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,,
ch7_rontgen_7,Mungkin... memang waktunya aku melepaskan,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,,,
ch7_jordan_1,Aku selalu mengaguminya,ch7_jordan_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,,
ch7_jordan_2,"Cara dia bermain, cara dia membawa dirinya di lapangan",ch7_jordan_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,,
ch7_jordan_3,"Tenang, tajam, seolah tidak pernah goyah",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,,,
